characterName,dialogue
0,Wait!
2,What's the matter?
0,I forgot to tell you something important...
0,The portal that connects the Human Realm to Alstroemeria can only be used twice...
0,I've already used it once to come here. If we use it again to go to the Human Realm...
0,...
2,...Mom can't come back?
0,"...No, I don't think she can."
2,...
0,"We can't do that. You finally got back together with your mom, I can't separate you two again."
2,...but what about the other humans?
0,We could try finding another way...
0,...
9,...
2,...
9,"Lex, I really do want to help your people. I really do."
9,But this is too soon! I can't uproot myself from Alstroemeria
9,Not if I have to abandon my own baby Bean
2,Mom––
9,"I'm sorry, Lex."
9,I wish I could help you.
2,...
2,"Mom, you should go."
9,"Bean, no. How are you going to live on your own? Who's going to look after Alstroemeria?"
2,"But you're the only one who can help humans, mom. "
2,Don't worry about Alstroemeria. I got a lot of practice curing and helping other spirits.
9,...You learned to cure?
2,"Yeah! I can help mutated spirits in Alstroemeria, and one day, maybe I can help the Root too!"
2,"After all, it's your job as the Curer to help those who transformed, right mom? "
9,...
9,Darling... 
9,"You've bloomed into a wonderful spirit, I am so proud of you, Bean."
9,...I shall entrust the role of the Curer of Alstroemeria to you. 
9,"Lex, I'm ready to help your fellow humans, take me to the portal."
