characterName,dialogue
0,"Sir, we believe this is addressed for you."
8,What is this? A letter?
8,Oh yes! I haven't gotten one of those in so long. I am so excited.
2,Letter time! Read it to us! What does it say?
8,...oh
2,"What's up, Mr. Tree sir?"
8,I think this isn't for me but for the old Root. 
0,"Oh, sorry about that."
8,"It's ok, I was just excited for a second..."
8,"We look similar, I've been told."
2,"Is he really a meanie, like everyone says? I'm a bit scared to meet him."
8,"He's a difficult one to deal with, that's for sure."
8, He's been even worse since little Alona went missing. 
8,"But he used to be a caring, nice tree spirit. The life of the forest, even." 
8,I wonder what made him become this way?
0,Little Alona?
8,"Oh, it's his granddaughter. She has pretty branches of flower on her head."
2,"Psst, hey Lex, isn't she the one that gave us the letter?"
